cod_local	ADRIANA DO HOSPITAL	Branco	DELEGADO EDUARDO BOIGUES	FABIANO	HEROILMA	MOACYR FERNANDES	Nulo	vencedor	v_valid	e_apto	e_comp	e_abst	ADRIANA DO HOSPITAL_%	DELEGADO EDUARDO BOIGUES_%	FABIANO_%	HEROILMA_%	MOACYR FERNANDES_%	longitude	latitude
L09147	487	156	1138	107	188	16	210	DELEGADO EDUARDO BOIGUES	1936	3223	2302	921	25,15	58,78	5,53	9,71	0,83	-46,3689920	-23,4837560
L09148	131	73	366	40	33	3	82	DELEGADO EDUARDO BOIGUES	573	1049	728	321	22,86	63,87	6,98	5,76	0,52	-46,3681569	-23,4873312
L09149	174	89	517	65	58	12	99	DELEGADO EDUARDO BOIGUES	826	1336	1014	322	21,07	62,59	7,87	7,02	1,45	-46,3608435	-23,4795672
L09150	724	311	1841	177	294	51	418	DELEGADO EDUARDO BOIGUES	3087	5365	3816	1549	23,45	59,64	5,73	9,52	1,65	-46,3441165	-23,4904792
L09151	428	171	1307	98	180	31	174	DELEGADO EDUARDO BOIGUES	2044	3220	2389	831	20,94	63,94	4,79	8,81	1,52	-46,3551579	-23,4739100
L09152	1077	336	2016	274	228	39	465	DELEGADO EDUARDO BOIGUES	3634	5842	4435	1407	29,64	55,48	7,54	6,27	1,07	-46,3701164	-23,4900163
L09153	425	147	1300	88	171	24	218	DELEGADO EDUARDO BOIGUES	2008	2928	2373	555	21,17	64,74	4,38	8,52	1,20	-46,3413970	-23,4678340
L09154	1039	339	2725	258	466	67	513	DELEGADO EDUARDO BOIGUES	4555	7861	5407	2454	22,81	59,82	5,66	10,23	1,47	-46,3529210	-23,4819400
L09155	496	268	1709	151	245	30	378	DELEGADO EDUARDO BOIGUES	2631	4358	3277	1081	18,85	64,96	5,74	9,31	1,14	-46,3406160	-23,4952500
L09156	814	326	2475	195	286	63	449	DELEGADO EDUARDO BOIGUES	3833	6075	4608	1467	21,24	64,57	5,09	7,46	1,64	-46,3572660	-23,4877550
L09157	277	100	654	72	96	19	135	DELEGADO EDUARDO BOIGUES	1118	1917	1353	564	24,78	58,50	6,44	8,59	1,70	-46,3654951	-23,4836833
L09158	637	162	1186	94	244	30	238	DELEGADO EDUARDO BOIGUES	2191	3817	2591	1226	29,07	54,13	4,29	11,14	1,37	-46,3445017	-23,4670217
L09159	987	299	2575	268	333	91	452	DELEGADO EDUARDO BOIGUES	4254	6742	5005	1737	23,20	60,53	6,30	7,83	2,14	-46,3700557	-23,4811568
L09160	79	74	723	58	58	2	119	DELEGADO EDUARDO BOIGUES	920	1401	1113	288	8,59	78,59	6,30	6,30	0,22	-46,3777203	-23,4790680
L09161	1023	406	3193	265	403	59	598	DELEGADO EDUARDO BOIGUES	4943	8074	5947	2127	20,70	64,60	5,36	8,15	1,19	-46,3520985	-23,5024552
L09162	606	334	1993	171	171	29	419	DELEGADO EDUARDO BOIGUES	2970	4900	3723	1177	20,40	67,10	5,76	5,76	0,98	-46,3625806	-23,4990150
L09163	723	312	1917	162	264	44	448	DELEGADO EDUARDO BOIGUES	3110	5018	3870	1148	23,25	61,64	5,21	8,49	1,41	-46,3427120	-23,5018550
L09164	467	183	1486	135	226	44	262	DELEGADO EDUARDO BOIGUES	2358	3752	2803	949	19,80	63,02	5,73	9,58	1,87	-46,3456739	-23,4975290
L09165	686	189	1622	110	313	49	284	DELEGADO EDUARDO BOIGUES	2780	4773	3253	1520	24,68	58,35	3,96	11,26	1,76	-46,3542090	-23,4789029
L09166	495	229	1617	141	167	30	352	DELEGADO EDUARDO BOIGUES	2450	4075	3031	1044	20,20	66,00	5,76	6,82	1,22	-46,3507535	-23,4758169
L09167	211	35	450	35	54	10	84	DELEGADO EDUARDO BOIGUES	760	1097	879	218	27,76	59,21	4,61	7,11	1,32	-46,3439136	-23,4665189
L09168	255	102	995	96	128	15	146	DELEGADO EDUARDO BOIGUES	1489	2394	1737	657	17,13	66,82	6,45	8,60	1,01	-46,3552766	-23,4745989
L09169	172	80	426	50	87	14	103	DELEGADO EDUARDO BOIGUES	749	1178	932	246	22,96	56,88	6,68	11,62	1,87	-46,3380845	-23,4885895
L09170	401	116	957	91	129	15	180	DELEGADO EDUARDO BOIGUES	1593	2756	1889	867	25,17	60,08	5,71	8,10	0,94	-46,3660400	-23,4833070
L09171	523	209	1351	156	209	14	299	DELEGADO EDUARDO BOIGUES	2253	3675	2761	914	23,21	59,96	6,92	9,28	0,62	-46,3615561	-23,4903211
L09172	183	81	495	77	75	16	123	DELEGADO EDUARDO BOIGUES	846	1446	1050	396	21,63	58,51	9,10	8,87	1,89	-46,3513510	-23,4801915
L09173	699	324	2528	245	316	48	449	DELEGADO EDUARDO BOIGUES	3836	6253	4609	1644	18,22	65,90	6,39	8,24	1,25	-46,3439125	-23,4968267
L10675	825	252	1930	159	126	31	354	DELEGADO EDUARDO BOIGUES	3071	4804	3677	1127	26,86	62,85	5,18	4,10	1,01	-46,3801550	-23,4611620
L10676	280	227	1307	70	576	21	284	DELEGADO EDUARDO BOIGUES	2254	3429	2765	664	12,42	57,99	3,11	25,55	0,93	-46,3120587	-23,4303515
L10677	701	307	2662	123	252	27	395	DELEGADO EDUARDO BOIGUES	3765	5518	4467	1051	18,62	70,70	3,27	6,69	0,72	-46,3508462	-23,4209756
L10678	401	204	2042	110	488	31	306	DELEGADO EDUARDO BOIGUES	3072	4502	3582	920	13,05	66,47	3,58	15,89	1,01	-46,3295865	-23,4697518
L10679	140	63	471	32	98	3	96	DELEGADO EDUARDO BOIGUES	744	1198	903	295	18,82	63,31	4,30	13,17	0,40	-46,3482342	-23,4408776
L10680	398	204	1709	135	478	39	236	DELEGADO EDUARDO BOIGUES	2759	4281	3199	1082	14,43	61,94	4,89	17,33	1,41	-46,3279668	-23,4628373
