cod_local	APRIGIO	Branco	DR EDUARDO NOBREGA	DR RONALDO DIAS	DR. WALDEMAR LIMA	ENGENHEIRO DANIEL	Nulo	PLINIO DO PIRAJUSSARA	PROFESSOR ODERLAN	PROFESSORA NAJARA COSTA	VITOR MEDEIROS	vencedor	v_valid	e_apto	e_comp	e_abst	APRIGIO_%	DR EDUARDO NOBREGA_%	DR RONALDO DIAS_%	DR. WALDEMAR LIMA_%	ENGENHEIRO DANIEL_%	PLINIO DO PIRAJUSSARA_%	PROFESSOR ODERLAN_%	PROFESSORA NAJARA COSTA_%	VITOR MEDEIROS_%	longitude	latitude
L07632	745,00	158,00	777,00	15,00	10,00	848,00	268,00	0,00	66,00	194,00	38,00	ENGENHEIRO DANIEL	2693,00	4200	3119	1081	27,66	28,85	0,56	0,37	31,49	0,00	2,45	7,20	1,41	-46,7839050	-23,6244910
L07633	2204,00	257,00	666,00	66,00	18,00	1178,00	488,00	6,00	93,00	396,00	70,00	APRIGIO	4697,00	7420	5442	1978	46,92	14,18	1,41	0,38	25,08	0,13	1,98	8,43	1,49	-46,7612065	-23,6113726
L07634	487,00	111,00	192,00	23,00	12,00	496,00	181,00	2,00	31,00	121,00	9,00	ENGENHEIRO DANIEL	1373,00	2340	1665	675	35,47	13,98	1,68	0,87	36,13	0,15	2,26	8,81	0,66	-46,7572310	-23,6033314
L07635	1023,00	180,00	381,00	34,00	25,00	666,00	264,00	3,00	63,00	239,00	40,00	APRIGIO	2474,00	4281	2918	1363	41,35	15,40	1,37	1,01	26,92	0,12	2,55	9,66	1,62	-46,7565270	-23,6067700
L07636	1075,00	176,00	419,00	47,00	24,00	776,00	319,00	2,00	61,00	262,00	28,00	APRIGIO	2694,00	4702	3189	1513	39,90	15,55	1,74	0,89	28,80	0,07	2,26	9,73	1,04	-46,7626063	-23,6048929
L07637	653,00	115,00	246,00	26,00	9,00	598,00	201,00	2,00	43,00	139,00	17,00	APRIGIO	1733,00	2922	2049	873	37,68	14,20	1,50	0,52	34,51	0,12	2,48	8,02	0,98	-46,7600020	-23,6002290
L07638	766,00	182,00	919,00	33,00	6,00	809,00	268,00	5,00	49,00	225,00	24,00	DR EDUARDO NOBREGA	2836,00	4677	3286	1391	27,01	32,40	1,16	0,21	28,53	0,18	1,73	7,93	0,85	-46,7827528	-23,6145247
L07639	1046,00	222,00	994,00	44,00	12,00	931,00	330,00	8,00	62,00	275,00	40,00	APRIGIO	3412,00	5349	3964	1385	30,66	29,13	1,29	0,35	27,29	0,23	1,82	8,06	1,17	-46,7827047	-23,6201088
L07640	983,00	194,00	853,00	42,00	13,00	958,00	313,00	4,00	80,00	145,00	31,00	APRIGIO	3109,00	5046	3616	1430	31,62	27,44	1,35	0,42	30,81	0,13	2,57	4,66	1,00	-46,7809841	-23,6226534
L07641	817,00	200,00	445,00	40,00	16,00	828,00	358,00	0,00	56,00	186,00	20,00	ENGENHEIRO DANIEL	2408,00	4260	2966	1294	33,93	18,48	1,66	0,66	34,39	0,00	2,33	7,72	0,83	-46,7632454	-23,5998904
L07642	854,00	160,00	469,00	23,00	15,00	742,00	266,00	6,00	102,00	161,00	20,00	APRIGIO	2392,00	4058	2818	1240	35,70	19,61	0,96	0,63	31,02	0,25	4,26	6,73	0,84	-46,7643999	-23,6176012
L07643	1098,00	254,00	724,00	43,00	9,00	1104,00	418,00	4,00	78,00	225,00	47,00	ENGENHEIRO DANIEL	3332,00	5433	4004	1429	32,95	21,73	1,29	0,27	33,13	0,12	2,34	6,75	1,41	-46,7780760	-23,6094850
L07644	725,00	177,00	448,00	27,00	16,00	634,00	286,00	4,00	52,00	250,00	22,00	APRIGIO	2178,00	3678	2641	1037	33,29	20,57	1,24	0,73	29,11	0,18	2,39	11,48	1,01	-46,7676191	-23,6003759
L07645	810,00	177,00	802,00	37,00	8,00	613,00	228,00	6,00	53,00	236,00	38,00	APRIGIO	2603,00	4218	3008	1210	31,12	30,81	1,42	0,31	23,55	0,23	2,04	9,07	1,46	-46,7845487	-23,6207858
L07646	927,00	231,00	757,00	36,00	16,00	1162,00	375,00	1,00	100,00	189,00	41,00	ENGENHEIRO DANIEL	3229,00	4997	3835	1162	28,71	23,44	1,11	0,50	35,99	0,03	3,10	5,85	1,27	-46,7761739	-23,6267542
L07647	785,00	160,00	463,00	28,00	14,00	743,00	245,00	1,00	82,00	176,00	14,00	APRIGIO	2306,00	3466	2711	755	34,04	20,08	1,21	0,61	32,22	0,04	3,56	7,63	0,61	-46,7717036	-23,6229532
L07648	164,00	38,00	115,00	11,00	2,00	181,00	62,00	1,00	25,00	41,00	4,00	ENGENHEIRO DANIEL	544,00	808	644	164	30,15	21,14	2,02	0,37	33,27	0,18	4,60	7,54	0,74	-46,7739782	-23,6251831
L07649	1256,00	185,00	467,00	32,00	20,00	708,00	238,00	5,00	73,00	279,00	26,00	APRIGIO	2866,00	4245	3289	956	43,82	16,29	1,12	0,70	24,70	0,17	2,55	9,73	0,91	-46,7706746	-23,6192388
L07650	763,00	199,00	523,00	28,00	14,00	750,00	277,00	4,00	76,00	185,00	25,00	APRIGIO	2368,00	3673	2844	829	32,22	22,09	1,18	0,59	31,67	0,17	3,21	7,81	1,06	-46,7735554	-23,6255284
L07651	161,00	38,00	73,00	5,00	2,00	189,00	45,00	0,00	4,00	38,00	7,00	ENGENHEIRO DANIEL	479,00	680	562	118	33,61	15,24	1,04	0,42	39,46	0,00	0,84	7,93	1,46	-46,7548499	-23,6013794
L07652	695,00	137,00	300,00	35,00	7,00	614,00	255,00	4,00	34,00	221,00	18,00	APRIGIO	1928,00	3143	2320	823	36,05	15,56	1,82	0,36	31,85	0,21	1,76	11,46	0,93	-46,7595412	-23,6022576
L07653	721,00	124,00	330,00	9,00	10,00	459,00	171,00	1,00	42,00	139,00	8,00	APRIGIO	1719,00	2633	2014	619	41,94	19,20	0,52	0,58	26,70	0,06	2,44	8,09	0,47	-46,7669098	-23,6173697
L07654	320,00	62,00	257,00	15,00	7,00	369,00	111,00	3,00	23,00	83,00	14,00	ENGENHEIRO DANIEL	1091,00	1624	1264	360	29,33	23,56	1,37	0,64	33,82	0,27	2,11	7,61	1,28	-46,7797112	-23,6241566
L07655	106,00	24,00	104,00	9,00	1,00	90,00	37,00	0,00	6,00	17,00	5,00	APRIGIO	338,00	487	399	88	31,36	30,77	2,66	0,30	26,63	0,00	1,78	5,03	1,48	-46,7822374	-23,6198911
L07656	748,00	73,00	181,00	17,00	9,00	301,00	89,00	1,00	16,00	97,00	19,00	APRIGIO	1389,00	1921	1551	370	53,85	13,03	1,22	0,65	21,67	0,07	1,15	6,98	1,37	-46,7636702	-23,6131931
